Emoji,Unicode Name,Description
💊,Pill,nutrition and wellness
💊,Pill,health and nutrition
💊,Pill,health care wellness
😍,Smiling Face with Heart-Eyes,heart shaped eyes
😍,Smiling Face with Heart-Eyes,heart shaped heart
😍,Smiling Face with Heart-Eyes,almond shaped eyes
🚪,Door,door house
🚪,Door,fisher house
🚪,Door,door opens
☀️,Sun,sunrise sun
☀️,Sun,sunrise sunrise
☀️,Sun,midnight sun
📍,Round Pushpin,found spot
📍,Round Pushpin,found here
📍,Round Pushpin,penalty spot
📍,Round Pushpin,blind spot
⌛,Hourglass Done,end time
⌛,Hourglass Done,prime time
⌛,Hourglass Done,end result
🍦,Soft Serve,dairy
🔬,Microscope,lens
📈,Chart Increasing,heights
🧼,Soap,clean
🙏,Folded Hands,namaste spirit
🙏,Folded Hands,namaste temple
🙏,Folded Hands,guiding spirit
😭,Loudly Crying Face,im so sad
😭,Loudly Crying Face,oh so sad
😭,Loudly Crying Face,im so happy
😭,Loudly Crying Face,ima sad
🐱,Cat Face,curious cat
🐱,Cat Face,wild cat
🐱,Cat Face,jungle cat
🚂,Locomotive,train
📈,Chart Increasing,hitting new heights
📈,Chart Increasing,hitting new york
📈,Chart Increasing,papua new heights
📈,Chart Increasing,brand new heights
🔬,Microscope,small detail view
🔬,Microscope,small mountain view
🔬,Microscope,full detail view
✈️,Airplane,flying
😂,Face with Tears of Joy,hilarious joke lol
😂,Face with Tears of Joy,je joke lol
😂,Face with Tears of Joy,mein joke lol
😂,Face with Tears of Joy,no joke lol
✨,Sparkles,glittering gems
✨,Sparkles,glittering skies
🥗,Green Salad,meal salad
🎸,Guitar,strumming guitar
🎸,Guitar,strumming guitars
📸,Camera with Flash,smile camera
📸,Camera with Flash,handheld camera
🍎,Red Apple,fresh from orchard
🍎,Red Apple,fresh fruit orchard
🍎,Red Apple,fresh apple orchard
🎸,Guitar,musician work
🎸,Guitar,musician award
🎸,Guitar,field work
🍔,Hamburger,sesame bun
🍔,Hamburger,sesame street
🍔,Hamburger,sesame workshop
💰,Money Bag,hitting the jackpot
💰,Money Bag,winning the jackpot
💰,Money Bag,hitting softball jackpot
📂,Open File Folder,papers
📑,Bookmark Tabs,page bookmark
📑,Bookmark Tabs,page 128
📑,Bookmark Tabs,page 259
🎾,Tennis,tennis sports
🎾,Tennis,varsity sports
🎾,Tennis,ea sports
🎾,Tennis,tennis academy
📏,Straight Ruler,school ruler
📏,Straight Ruler,school board
📏,Straight Ruler,school directory
✂️,Scissors,scissors
👍,Thumbs Up,nice job
👍,Thumbs Up,desk job
👍,Thumbs Up,odd job
😊,Smiling Face with Smiling Eyes,sweet
🥳,Partying Face,let's party
🥳,Partying Face,democratic party
🥳,Partying Face,let's try
🧪,Test Tube,tube research
🧪,Test Tube,scientific research
🧪,Test Tube,biomedical research
💰,Money Bag,rich
📱,Mobile Phone,computer
☀️,Sun,solar
🕯️,Candle,candle peaceful
🕯️,Candle,candlelight
🕯️,Candle,very peaceful
🌈,Rainbow,colorful sky arc
🌈,Rainbow,dark sky arc
🌈,Rainbow,colorful skyland
🌈,Rainbow,colorful infinite arc
😴,Sleeping Face,drifting sleep
😴,Sleeping Face,drifting skies
😴,Sleeping Face,restless sleep
😭,Loudly Crying Face,weeping loudly
😭,Loudly Crying Face,hum loudly
😭,Loudly Crying Face,sing loudly
😭,Loudly Crying Face,whistle loudly
😂,Face with Tears of Joy,im screaming
😂,Face with Tears of Joy,endless screaming
😂,Face with Tears of Joy,imdb
🍷,Wine Glass,wine toast
🍷,Wine Glass,winemaking
🍷,Wine Glass,winehouse
🍕,Pizza,fast
📱,Mobile Phone,phone digital
📱,Mobile Phone,phone ringing
📱,Mobile Phone,amazon digital
🏀,Basketball,points
🛋️,Couch and Lamp,sofa home
🛋️,Couch and Lamp,at home
📑,Bookmark Tabs,bookmark document
📑,Bookmark Tabs,bookmark printing
📑,Bookmark Tabs,bookmark magazine
🤣,Rolling on the Floor Laughing,floor
🍕,Pizza,cheese pizza
🍕,Pizza,cheese factory
🗺️,World Map,world geography
🗺️,World Map,world record
🗺️,World Map,human geography
🗺️,World Map,computational geography
🔭,Telescope,exploration
🌍,Globe Showing Europe-Africa,view
🛏️,Bed,bed time
🛏️,Bed,bedtime
🛏️,Bed,extra time
🛏️,Bed,bedlam
🎸,Guitar,guitar song
🎸,Guitar,guitar solos
🎸,Guitar,love song
🎸,Guitar,guitar solo
✨,Sparkles,night sky
✨,Sparkles,nighthawks
✨,Sparkles,blue sky
🌍,Globe Showing Europe-Africa,community globe
🌍,Globe Showing Europe-Africa,crystal globe
🌍,Globe Showing Europe-Africa,community outreach
🛏️,Bed,bed rest
🛏️,Bed,no rest
🛏️,Bed,bedouin
🛏️,Bed,at rest
😴,Sleeping Face,nap
🌍,Globe Showing Europe-Africa,marble
❄️,Snowflake,snowflake
🧬,DNA,molecule dna
🧬,DNA,molecule mapping
✂️,Scissors,hobby tool
✂️,Scissors,simulation tool
✂️,Scissors,learning tool
✂️,Scissors,hobbyists
🍷,Wine Glass,toast wine
🍷,Wine Glass,red wine
🍷,Wine Glass,toastmaster
Door,door entry,
🚪,Door,sole entry
🔬,Microscope,magnification lens
🔬,Microscope,magnification microscopy
🔬,Microscope,single lens
🔬,Microscope,magnification microscope
💀,Skull,bony face
💀,Skull,bonyfish
💀,Skull,poker face
💊,Pill,medical capsule
💊,Pill,fruit capsule
💊,Pill,capsule capsule
💊,Pill,medical sciences
🚲,Bicycle,mountain
😂,Face with Tears of Joy,laughing out loud
😂,Face with Tears of Joy,crying out loud
😂,Face with Tears of Joy,laughing out laughing
😂,Face with Tears of Joy,laughing and loud
🔒,Locked,lock
🤣,Rolling on the Floor Laughing,rofl laughing hard
🤣,Rolling on the Floor Laughing,still laughing hard
🚲,Bicycle,riding a bike
🚲,Bicycle,riding my bike
🚲,Bicycle,riding mountain bike
🚲,Bicycle,riding a bull
✏️,Pencil,wooden
🔦,Flashlight,emergency light
🔦,Flashlight,bright light
🔦,Flashlight,emergency services
🔦,Flashlight,emergency response
📈,Chart Increasing,scaling chart
📈,Chart Increasing,scaling function
📈,Chart Increasing,scaling equation
🧹,Broom,sweeping
🙄,Face with Rolling Eyes,dismissive
📸,Camera with Flash,memories
🧼,Soap,hand soap
🧼,Soap,handwritten
🧼,Soap,handmade
🧼,Soap,inside soap
🍎,Red Apple,habits
😎,Smiling Face with Sunglasses,energy vibes
😎,Smiling Face with Sunglasses,energy efficiency
🔔,Bell,music bell
🔔,Bell,joshua bell
🔔,Bell,music publishing
🍔,Hamburger,fast food meal
🍔,Hamburger,staple food meal
🍔,Hamburger,fast meal meal
🍔,Hamburger,fastening meal
😊,Smiling Face with Smiling Eyes,smiling
🚿,Shower,washing shower
🚿,Shower,hot shower
🚿,Shower,washing machine
🏀,Basketball,net ball
🏀,Basketball,netnet
🏀,Basketball,net neutrality
🛳️,Passenger Ship,boat ship
🛳️,Passenger Ship,cargo ship
🛳️,Passenger Ship,liberty ship
😴,Sleeping Face,very sleepy
😴,Sleeping Face,mister sleepy
😴,Sleeping Face,sleepy sleepy
🏮,Red Paper Lantern,lantern light
🏮,Red Paper Lantern,artificial light
🏮,Red Paper Lantern,lantern tower
🍰,Shortcake,food
🔌,Electric Plug,source
🐶,Dog Face,breed
🔔,Bell,classic metal bell
🔔,Bell,classic metal albums
🔔,Bell,tubular metal bell
🧺,Basket,holding goods
🧺,Basket,dry goods
🧺,Basket,canned goods
😊,Smiling Face with Smiling Eyes,positive
✈️,Airplane,departing on trip
✈️,Airplane,departing round trip
✈️,Airplane,click on trip
☀️,Sun,sunny sky
☀️,Sun,sunnydale
☀️,Sun,grey sky
📚,Books,stack books
📚,Books,stack computing
📚,Books,google books
📚,Books,pocket books
🎈,Balloon,supply
🏀,Basketball,basketball game
🏀,Basketball,championship game
🏀,Basketball,basketball team
🏀,Basketball,video game
🌧️,Cloud with Rain,drops
🍺,Beer Mug,social drinking time
🍺,Beer Mug,social drinking disorder
🛏️,Bed,bed pillow
🛏️,Bed,pillow pillow
😎,Smiling Face with Sunglasses,relaxed energy
😎,Smiling Face with Sunglasses,solar energy
😎,Smiling Face with Sunglasses,atomic energy
😎,Smiling Face with Sunglasses,renewable energy
🖋️,Fountain Pen,high quality pen
🖋️,Fountain Pen,high quality photography
🖋️,Fountain Pen,high quality materials
🖋️,Fountain Pen,good quality pen
📈,Chart Increasing,profits rising
📈,Chart Increasing,earth rising
📈,Chart Increasing,moon rising
🌍,Globe Showing Europe-Africa,travel around world
🌍,Globe Showing Europe-Africa,all around world
🌍,Globe Showing Europe-Africa,travel through world
🪒,Razor,shave hair
🪒,Razor,curly hair
📍,Round Pushpin,pin on the map
📍,Round Pushpin,pin on the roof
📍,Round Pushpin,pinning the map
📍,Round Pushpin,appears on the map
💔,Broken Heart,deep emotional pain
💔,Broken Heart,severe emotional pain
💔,Broken Heart,deep chest pain
💔,Broken Heart,deepening pain
🗺️,World Map,path
📸,Camera with Flash,taking picture
📸,Camera with Flash,moving picture
📸,Camera with Flash,best picture
📸,Camera with Flash,taking yields
🌈,Rainbow,magic
🧭,Compass,compass tool
🧭,Compass,learning tool
🧭,Compass,mapping tool
🧭,Compass,compass tower
🚪,Door,privacy and entry
🚪,Door,rank and entry
🚪,Door,privacy net entry
🚪,Door,entry and entry
📸,Camera with Flash,arts
🔌,Electric Plug,electric plug
🔌,Electric Plug,electric bicycles
🔌,Electric Plug,electric tramway
🥪,Sandwich,bread
⌛,Hourglass Done,time glass
⌛,Hourglass Done,tinted glass
⌛,Hourglass Done,time travel
🚂,Locomotive,history
🤡,Clown Face,clowning
📏,Straight Ruler,construction measure
📏,Straight Ruler,construction schedule
📏,Straight Ruler,construction permit
🍎,Red Apple,healthy
💰,Money Bag,profit bag
💰,Money Bag,plastic bag
💰,Money Bag,profitability
💻,Laptop,computer
😴,Sleeping Face,drifting face
😴,Sleeping Face,doll face
💰,Money Bag,bank and currency
💰,Money Bag,banknote currency
💰,Money Bag,bank note currency
💰,Money Bag,bank and trust
☕,Hot Beverage,cup
🙏,Folded Hands,praying
❄️,Snowflake,flake snow
❄️,Snowflake,flake creek
❄️,Snowflake,white snow
😴,Sleeping Face,day face
😴,Sleeping Face,day 13
❤️,Red Heart,pure love and light
❤️,Red Heart,pure air and light
❤️,Red Heart,pure love and happiness
❤️,Red Heart,pure love and devotion
😴,Sleeping Face,long day
😴,Sleeping Face,long island
😴,Sleeping Face,long beach
✂️,Scissors,craft tool
✂️,Scissors,craftcraft
📸,Camera with Flash,lens
📸,Camera with Flash,camera work
📸,Camera with Flash,field work
📸,Camera with Flash,charity work
📸,Camera with Flash,camera lens
⌛,Hourglass Done,sand
📂,Open File Folder,organizing papers
📂,Open File Folder,organizing committee
📂,Open File Folder,occasional papers
📂,Open File Folder,organizing committees
🛋️,Couch and Lamp,couch sofa
Couch and Lamp,plush sofa,
🛋️,Couch and Lamp,sofa sofa
🥳,Partying Face,confetti joy
🥳,Partying Face,confetties
🔬,Microscope,lab
🧬,DNA,dna code
🧬,DNA,zip code
🧬,DNA,morse code
👍,Thumbs Up,okay with me
👍,Thumbs Up,dance with me
👍,Thumbs Up,okay kidding me
👍,Thumbs Up,okay tell me
❤️,Red Heart,i love you
❤️,Red Heart,i love myself
❤️,Red Heart,we love you
⌚,Watch,smart watch
⌚,Watch,smartnet
🥳,Partying Face,party
😊,Smiling Face with Smiling Eyes,peaceful
🏠,House,living house
🏠,House,white house
🔒,Locked,bolt lock
🔒,Locked,boltzman
🔒,Locked,windsor lock
😭,Loudly Crying Face,so much sorrow
😭,Loudly Crying Face,so much fun
😭,Loudly Crying Face,so long sorrow
⌛,Hourglass Done,glass hourglass
⌛,Hourglass Done,glassware
⌛,Hourglass Done,golden hourglass
🧸,Teddy Bear,bear teddy
🧸,Teddy Bear,beartooth
🎾,Tennis,fuzzy ball
🎾,Tennis,roger ball
🎾,Tennis,fuzzy logic
🎾,Tennis,cue ball
💊,Pill,drug pill
💊,Pill,baby pill
💊,Pill,pill pill
🎸,Guitar,band rehearsal time
🎸,Guitar,band first time
🎸,Guitar,band full time
🎸,Guitar,bandcamp time
❤️,Red Heart,sweetheart
✨,Sparkles,magic trick
✨,Sparkles,hat trick
✨,Sparkles,trick trick
✨,Sparkles,cheap trick
⌚,Watch,punctuality
🙄,Face with Rolling Eyes,frustration vibes
🙄,Face with Rolling Eyes,cool vibes
🙄,Face with Rolling Eyes,ghetto vibes
🚂,Locomotive,steam locomotive
🚂,Locomotive,steamroller
🚂,Locomotive,steam locomotives
🚂,Locomotive,stephenson locomotive
🤔,Thinking Face,pondering life
🤔,Thinking Face,pondering questions
🎈,Balloon,flying
🧹,Broom,room
📑,Bookmark Tabs,study
📓,Notebook,take notes
📓,Notebook,sleeve notes
📓,Notebook,liner notes
✈️,Airplane,soaring airplane
✈️,Airplane,soaring winds
🔋,Battery,rechargeable source
🔋,Battery,rechargeable fuel
🔋,Battery,rechargeable batteries
🔋,Battery,data source
📍,Round Pushpin,pin
🧭,Compass,gear compass
🧭,Compass,gearwork
🧭,Compass,electric compass
📍,Round Pushpin,mark point
📍,Round Pushpin,mark morris
📍,Round Pushpin,mark williams
🏠,House,building
🧬,DNA,helix dna
🧬,DNA,mitochondrial dna
🍷,Wine Glass,glass
🏠,House,house building
🏠,House,office building
🏠,House,administration building
🧼,Soap,foam soap
🧼,Soap,foam foam
💀,Skull,dead laughing
💀,Skull,deadpool
💀,Skull,deadwood
❄️,Snowflake,winter wonderland
❄️,Snowflake,winter olympics
💊,Pill,prescription pill
💊,Pill,prescription drugs
💊,Pill,poison pill
🍦,Soft Serve,dessert
🔋,Battery,battery life
🔋,Battery,everyday life
🔋,Battery,real life
🔋,Battery,battery packs
🛋️,Couch and Lamp,design couch
🛋️,Couch and Lamp,crash couch
🛋️,Couch and Lamp,design bureau
📏,Straight Ruler,edge ruler
📏,Straight Ruler,edgewood
📏,Straight Ruler,edgewise
💔,Broken Heart,unrequited vibes
💔,Broken Heart,unrequitedness
🌡️,Thermometer,health
🎁,Wrapped Gift,gift delivery
🎁,Wrapped Gift,drug delivery
🍰,Shortcake,party cake
🍰,Shortcake,party website
🍰,Shortcake,birthday cake
🍰,Shortcake,party list
🍕,Pizza,ordering pizza
🍕,Pizza,domino pizza
🍕,Pizza,ordering yields
☀️,Sun,heat
💰,Money Bag,currency bag
💰,Money Bag,currency exchange
💰,Money Bag,currency notes
❄️,Snowflake,unique snow pattern
❄️,Snowflake,unique mating pattern
❄️,Snowflake,unique snowboarding
❄️,Snowflake,unique snowmobile
🍕,Pizza,favorite fast food
🍕,Pizza,boston fast food
🍕,Pizza,favorite vegetarian food
🍕,Pizza,favorite fast track
🚽,Toilet,bathroom
😎,Smiling Face with Sunglasses,beach day
😎,Smiling Face with Sunglasses,boxing day
😎,Smiling Face with Sunglasses,beach boys
😎,Smiling Face with Sunglasses,beach volleyball
⌛,Hourglass Done,period of time
⌛,Hourglass Done,period in time
⌛,Hourglass Done,period saving time
⌛,Hourglass Done,period of mourning
🌧️,Cloud with Rain,raining outside
🌧️,Cloud with Rain,standing outside
🌧️,Cloud with Rain,just outside
🌧️,Cloud with Rain,raining rain
💀,Skull,tired
🔒,Locked,heavy metal bolt
🔒,Locked,adjustable metal bolt
🔒,Locked,solid metal bolt
😍,Smiling Face with Heart-Eyes,in love
😍,Smiling Face with Heart-Eyes,sweet love
😍,Smiling Face with Heart-Eyes,true love
❄️,Snowflake,falling snowflake
❄️,Snowflake,giant snowflake
❄️,Snowflake,falling skies
🚗,Automobile,car vehicle
🚗,Automobile,armored vehicle
🚗,Automobile,unmanned vehicle
🚗,Automobile,carillon
🍦,Soft Serve,kids treat
🍦,Soft Serve,kids playground
🍦,Soft Serve,kids tv
🥳,Partying Face,cheers
😭,Loudly Crying Face,sad story
😭,Loudly Crying Face,love story
😭,Loudly Crying Face,sadhana
😭,Loudly Crying Face,ghost story
🍷,Wine Glass,sweet wine
🍷,Wine Glass,redwing
🍷,Wine Glass,red arrows
🔔,Bell,bell alert
🔔,Bell,bellingham
🔔,Bell,emergency alert
💻,Laptop,tech
🔥,Fire,spicy food
🔥,Fire,fast food
📚,Books,books study
📚,Books,bookselling
☕,Hot Beverage,caffeine hot
☕,Hot Beverage,red hot
☕,Hot Beverage,caffeine deprivation
☕,Hot Beverage,super hot
🕯️,Candle,candle melting
🕯️,Candle,ice melting
🕯️,Candle,snow melting
🌈,Rainbow,magic arc
🌈,Rainbow,infinite arc
🌈,Rainbow,grand arc
🐶,Dog Face,pet dog
🐶,Dog Face,petropolis
🐶,Dog Face,hound dog
🐶,Dog Face,naughty dog
🤡,Clown Face,weird
🐱,Cat Face,fur
⚽,Soccer Ball,football
📏,Straight Ruler,drawing
🏠,House,residential property
🏠,House,residential buildings
🏠,House,private property
😍,Smiling Face with Heart-Eyes,seeing stars
😍,Smiling Face with Heart-Eyes,seeing things
😍,Smiling Face with Heart-Eyes,rising stars
🖋️,Fountain Pen,ink flow
🖋️,Fountain Pen,inkjet
🐶,Dog Face,puppy
⚽,Soccer Ball,soccer field
⚽,Soccer Ball,soccer academy
⚽,Soccer Ball,soccer illustrated
⚽,Soccer Ball,hayward field
💻,Laptop,internet laptop
💻,Laptop,apple laptop
💻,Laptop,google laptop
🏀,Basketball,court
⌛,Hourglass Done,hourglass time
⌛,Hourglass Done,extra time
⌛,Hourglass Done,all time
🚗,Automobile,car road
🚗,Automobile,caruso
🚗,Automobile,carnation
🚗,Automobile,bloomfield road
🔒,Locked,access
🛁,Bathtub,home spa
🛁,Bathtub,home plate
🛁,Bathtub,home rule
🛁,Bathtub,bath spa
🔋,Battery,energy
🧸,Teddy Bear,monster toy
🤣,Rolling on the Floor Laughing,joyful laughter
🤣,Rolling on the Floor Laughing,joyful chorus
🤣,Rolling on the Floor Laughing,joyful journey
💔,Broken Heart,sad and lonely
💔,Broken Heart,cruel and lonely
💔,Broken Heart,sad and sad
💔,Broken Heart,sad and hopeless
👍,Thumbs Up,positive
🚗,Automobile,personal red vehicle
🚗,Automobile,personal recreational vehicle
🚗,Automobile,bright red vehicle
📓,Notebook,blank
🛋️,Couch and Lamp,lounge furniture
🛋️,Couch and Lamp,antique furniture
🛋️,Couch and Lamp,custom furniture
💊,Pill,drug treatment
💊,Pill,drug trafficking
📓,Notebook,records
🍔,Hamburger,tasty
⌛,Hourglass Done,gravity sand
⌛,Hourglass Done,white sand
⌛,Hourglass Done,gravity tensor
🌍,Globe Showing Europe-Africa,earth globe
🌍,Globe Showing Europe-Africa,earthworks
🌍,Globe Showing Europe-Africa,earthbound
💰,Money Bag,profit
🎾,Tennis,game tennis
🎾,Tennis,game theory
🚂,Locomotive,train history
🚂,Locomotive,train services
🚂,Locomotive,alternate history
📍,Round Pushpin,map mark
📍,Round Pushpin,mapping
📸,Camera with Flash,visual arts work
📸,Camera with Flash,visual art work
📸,Camera with Flash,visual arts center
📸,Camera with Flash,visualization work
🚲,Bicycle,outdoor exercise
🚲,Bicycle,endurance exercise
🚲,Bicycle,physical exercise
🛁,Bathtub,cleaning bath
🛁,Bathtub,spring bath
🛁,Bathtub,bristol bath
😂,Face with Tears of Joy,so funny i can't breathe
😂,Face with Tears of Joy,so bad i can't breathe
😂,Face with Tears of Joy,so funny we can't breathe
😂,Face with Tears of Joy,so far i can't breathe
✏️,Pencil,hand writing
✏️,Pencil,handmade
✏️,Pencil,handwritten
✏️,Pencil,editorial writing
🏀,Basketball,excitement
⌚,Watch,track watch
❤️,Red Heart,deep affection and care
❤️,Red Heart,deep affection for care
❤️,Red Heart,deep learning and care
❤️,Red Heart,deep affection and devotion
🔒,Locked,locked door
🔒,Locked,front door
🔒,Locked,locked doors
🧬,DNA,life sciences
🧬,DNA,lifeguard
🧬,DNA,social sciences
🚗,Automobile,steering
📓,Notebook,notes notebook
📓,Notebook,google notebook
📓,Notebook,digital notebook
📓,Notebook,pocket notebook
😎,Smiling Face with Sunglasses,trendy style
😎,Smiling Face with Sunglasses,art style
🍰,Shortcake,bakery cake
🍰,Shortcake,strawberry cake
❤️,Red Heart,love is in the air
❤️,Red Heart,what is in the air
❤️,Red Heart,love flies in the air
❤️,Red Heart,love rings in the air
🚀,Rocket,blast space
🚀,Rocket,blast furnace
🚀,Rocket,vector space
😂,Face with Tears of Joy,comedy gold
😂,Face with Tears of Joy,comedy central
😂,Face with Tears of Joy,pure gold
🔨,Hammer,building with tools
🔨,Hammer,software with tools
🔨,Hammer,experimenting with tools
🔨,Hammer,building with windows
🍕,Pizza,slice of cheesy pepperoni
🍕,Pizza,slice of pizza pepperoni
🍕,Pizza,slice fried cheesy pepperoni
🍕,Pizza,taste of cheesy pepperoni
👍,Thumbs Up,work
🏠,House,place of rest
🏠,House,ease of rest
🏠,House,places of rest
🏠,House,place to rest
🥗,Green Salad,nutritious plant bowl
🥗,Green Salad,nutritious plantain
🥗,Green Salad,nutritious plant species
🥗,Green Salad,nutritious sugar bowl
💀,Skull,ghost head
💀,Skull,hilton head
💀,Skull,ghost hunters
💀,Skull,ghost stories
✂️,Scissors,sharp metal blades
✂️,Scissors,sharp leaf blades
✂️,Scissors,stainless metal blades
✂️,Scissors,sharp metal plates
🚗,Automobile,traffic
🌧️,Cloud with Rain,falling water drops
🌧️,Cloud with Rain,falling sky drops
🌧️,Cloud with Rain,hot water drops
🌧️,Cloud with Rain,falling water falls
💰,Money Bag,wealthy bag
💰,Money Bag,wealthy families
💰,Money Bag,wealthy merchants
🌡️,Thermometer,temperature thermometer
🌡️,Thermometer,temperature variation
🌡️,Thermometer,vacuum thermometer
⚽,Soccer Ball,global
🤡,Clown Face,creepy clown vibes
🤡,Clown Face,creepy clown posse
🤡,Clown Face,cosmic clown vibes
🐱,Cat Face,face
🎸,Guitar,rehearsal guitar
🎸,Guitar,rehearsal rehearsal
⌛,Hourglass Done,task
🛁,Bathtub,bathtub wash
🛁,Bathtub,dry wash
🌧️,Cloud with Rain,water rain
🌧️,Cloud with Rain,cold rain
🌧️,Cloud with Rain,watercolor
🌧️,Cloud with Rain,freezing rain
🛏️,Bed,bed mattress
🛏️,Bed,feather mattress
🥳,Partying Face,confetti time
🥳,Partying Face,extra time
🥳,Partying Face,prime time
🥳,Partying Face,all time
🛋️,Couch and Lamp,sofa livingroom
🛋️,Couch and Lamp,rooftop livingroom
🖼️,Framed Picture,wall painting
💡,Light Bulb,yellow bulb
💡,Light Bulb,yellow fever
🥗,Green Salad,lettuce
🌍,Globe Showing Europe-Africa,space earth
🌍,Globe Showing Europe-Africa,spacewalk
📍,Round Pushpin,geo spot
☀️,Sun,outdoor weather
☀️,Sun,bad weather
☀️,Sun,stormy weather
☀️,Sun,outdoor bowls
✨,Sparkles,fairy tales
✨,Sparkles,folk tales
✨,Sparkles,canterbury tales
✨,Sparkles,tall tales
💀,Skull,skeleton man
💀,Skull,skeleton racer
💀,Skull,fat man
🧼,Soap,hands
😭,Loudly Crying Face,feeling low
😭,Loudly Crying Face,penny low
😭,Loudly Crying Face,feeling guilty
😭,Loudly Crying Face,feeling good
🕰️,Mantelpiece Clock,decor
📓,Notebook,notebook
💰,Money Bag,wealth
🔌,Electric Plug,energy connection
🔌,Electric Plug,energy efficiency
🔌,Electric Plug,energy conservation
❄️,Snowflake,snowflake ice
❄️,Snowflake,snowflake creek
❄️,Snowflake,shaved ice
✈️,Airplane,international flight
✈️,Airplane,delta flight
✈️,Airplane,international bibliography
🖋️,Fountain Pen,writing
🍎,Red Apple,vitamins
✏️,Pencil,drawing pencil
✏️,Pencil,color pencil
✏️,Pencil,drawing method
❤️,Red Heart,my valentine
❤️,Red Heart,my heart
❤️,Red Heart,saint valentine
💀,Skull,vibes
🧸,Teddy Bear,soft toy
🧸,Teddy Bear,softwood
🗺️,World Map,navigation
🛏️,Bed,furniture
🛳️,Passenger Ship,large boat deck
🛳️,Passenger Ship,floating boat deck
🛳️,Passenger Ship,large observation deck
🛳️,Passenger Ship,sunken boat deck
🥗,Green Salad,raw salad
🥗,Green Salad,rawwire
💻,Laptop,tasks
📚,Books,books stack
📚,Books,stack stack
📚,Books,bookshop
📚,Books,bookseller
🧹,Broom,bristles and dirt
🧹,Broom,bristles with dirt
🧹,Broom,bristles or dirt
🧹,Broom,grass and dirt
🎁,Wrapped Gift,reward
🔋,Battery,bar
🐱,Cat Face,kitty
💔,Broken Heart,my heart is aching
💔,Broken Heart,thy heart is aching
💔,Broken Heart,my heart stops aching
💔,Broken Heart,my chest is aching
🚗,Automobile,travel car
🚗,Automobile,travel agency
🚗,Automobile,passenger car
🚗,Automobile,sports car
📍,Round Pushpin,destination mark
📍,Round Pushpin,destination unknown
🔒,Locked,safe lock
🔒,Locked,safeway
🔦,Flashlight,handheld
📱,Mobile Phone,touch screen device
📱,Mobile Phone,google screen device
📱,Mobile Phone,smart screen device
📱,Mobile Phone,touch screen sensor
🔭,Telescope,telescope stars
🔭,Telescope,lone stars
🖋️,Fountain Pen,fountain pen
🖋️,Fountain Pen,jeremy pen
🖋️,Fountain Pen,dragon pen
🖋️,Fountain Pen,paper pen
⌚,Watch,daily watch
⌚,Watch,neighbourhood watch
⌚,Watch,daily mail
⌚,Watch,daily news
💻,Laptop,software
🧭,Compass,path
🌧️,Cloud with Rain,umbrella rain
🌧️,Cloud with Rain,heavy rain
🌧️,Cloud with Rain,umbrella effect
🧪,Test Tube,science
🖼️,Framed Picture,frame picture
🖼️,Framed Picture,motion picture
🖼️,Framed Picture,frameage
🏠,House,safe and cozy
🏠,House,safe harbor cozy
🏠,House,safe and secure
🏠,House,warm and cozy
🏀,Basketball,professional athlete life
🏀,Basketball,professional daily life
🏀,Basketball,professional athlete awards
🏀,Basketball,disabled athlete life
💀,Skull,skull face
💀,Skull,skullbone
🏠,House,family home
🏠,House,welcome home
❄️,Snowflake,winter snowflake
❄️,Snowflake,alpine snowflake
❄️,Snowflake,winter garden
❤️,Red Heart,heart symbol for best friend
❤️,Red Heart,heart symbolized best friend
❤️,Red Heart,heartfelt for best friend
❤️,Red Heart,friendship symbol for best friend
🛏️,Bed,bed night
🛏️,Bed,twelfth night
🍰,Shortcake,slice
🎾,Tennis,game
🍰,Shortcake,cake dessert
🍰,Shortcake,cake factory
🍰,Shortcake,cake shop
🍰,Shortcake,apple dessert
❄️,Snowflake,cold snowflake
❄️,Snowflake,purple snowflake
🙏,Folded Hands,spiritual
⚽,Soccer Ball,kicking ball
⚽,Soccer Ball,kicking dogs
👍,Thumbs Up,cool
🛳️,Passenger Ship,giant ship hull
🛳️,Passenger Ship,giant iron hull
🛳️,Passenger Ship,cargo ship hull
🛳️,Passenger Ship,giant metal hull
💊,Pill,pill medicine
💊,Pill,veterinary medicine
💊,Pill,forensic medicine
💊,Pill,pillage
🗺️,World Map,map path
🧭,Compass,north compass
🧭,Compass,northcote
🧭,Compass,north dakota
🏠,House,space home
😴,Sleeping Face,tired face
😴,Sleeping Face,smiley face
😴,Sleeping Face,tiredness
🌡️,Thermometer,hot
❤️,Red Heart,sending you my love
❤️,Red Heart,sending you my message
❤️,Red Heart,sending away my love
❤️,Red Heart,sending you a love
🤔,Thinking Face,is that true
🤔,Thinking Face,is it true
🤔,Thinking Face,remember that true
🤔,Thinking Face,believe that true
✨,Sparkles,glittering stars
✨,Sparkles,rising stars
⚽,Soccer Ball,game ball
⚽,Soccer Ball,crystal ball
⚽,Soccer Ball,roger ball
⚽,Soccer Ball,game theory
✈️,Airplane,passenger
☕,Hot Beverage,cozy drink time
☕,Hot Beverage,cozy every time
☕,Hot Beverage,free drink time
☕,Hot Beverage,best drink time
🙄,Face with Rolling Eyes,serious face
🙄,Face with Rolling Eyes,serious crime
🙄,Face with Rolling Eyes,doll face
🧪,Test Tube,testing
🖋️,Fountain Pen,artist
🤡,Clown Face,silly
